Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2022-12-09,277253.86,293367.72,171317.91,171317.91,5120.53,5478.82
2022-12-10,255616.33,333291.02,170945.32,170945.32,4268.29,4453.74
2022-12-11,212628.14,335550.59,137731.11,137731.11,3684.65,3802.36
2022-12-12,223659.32,308351.91,134932.33,134932.33,4208.06,4474.59
2022-12-13,208423.2,304409.51,130072.45,130072.45,4144.56,4453.98
2022-12-14,234040.91,295672.46,135547.71,135547.71,4249.75,4514.82
2022-12-15,251707.56,294918.29,146791.33,146791.33,4420.31,4734.31
2022-12-16,290042.91,274641.35,161467.54,161467.54,5037.04,5330.57
2022-12-17,296151.29,264116.21,163995.07,163995.07,5434.89,5684.98
2022-12-18,292695.59,285570.65,174483.47,174483.47,4886.8,5159.95
2022-12-19,313224.98,250574.43,168158.43,168158.43,5925.16,6180.29
2022-12-20,296362.63,273004.34,174137.15,174137.15,5734.4,5967.37
2022-12-21,268017.04,263504.1,155896.67,155896.67,5451,5849.52
2022-12-22,280718.83,272216.75,164183.24,164183.24,5684.34,6063.08
2022-12-23,283814.38,267102.7,155039.85,155039.85,6070.49,6464.29
2022-12-24,276396.73,286595.26,159516.46,159516.46,5885.97,6449.23
2022-12-25,263652.81,283145.18,151775.66,151775.66,5169.75,5525.6
2022-12-26,294639.21,275344.64,166466.59,166466.59,6432.41,6930.35
2022-12-27,278382.65,250841.41,147847.23,147847.23,6548.15,7275.49
2022-12-28,275593.02,277808.01,166132.55,166132.55,5958.41,6378.37
2022-12-29,289921.7,274142.03,172301.32,172301.32,6191.27,6582.37
2022-12-30,271450.16,264315.62,156440.15,156440.15,6218.76,6513.84
2022-12-31,298040.28,287383.86,182425.19,182425.19,6564.5,6845.2
2023-01-01,269391.24,337580.79,190892.83,190892.83,4917.75,5127.82
2023-01-02,282645.84,325809.82,185357.88,185357.88,5906.33,6384.18
2023-01-03,270767.9,302412.99,172497.4,172497.4,5373.37,5762.79
2023-01-04,258501.29,266575.33,149955.98,149955.98,6015.32,6386.31
2023-01-05,293749.53,257208.2,152698.16,152698.16,6909.16,7212.59
2023-01-06,327432.69,247228.36,159528.81,159528.81,7228.08,7581.34
2023-01-07,367766.69,266228.28,177270.51,177270.51,7702.27,8032.4
2023-01-08,320418.66,312547.14,198296.07,198296.07,5852.16,6268.1
2023-01-09,309874.36,258214.16,161487.62,161487.62,7552.79,7646.32
2023-01-10,335655.65,214000.02,145166.7,145166.7,8085.17,8083.2
2023-01-11,353048.71,177537.26,129044.07,129044.07,8686.97,8390.68
2023-01-12,338604.64,214304.52,154714.01,154714.01,8412.51,8339.16
2023-01-13,352693.96,218982.82,155553.56,155553.56,8522.05,8285.68
2023-01-14,325948.45,209218.83,145186.67,145186.67,7832.26,7811.71
2023-01-15,275474.31,252025,153710.99,153710.99,6429.6,6657.68
2023-01-16,234811.62,261193.51,144140.43,144140.43,6207.22,6597.6
2023-01-17,286823.45,264912.02,147851.32,147851.32,6338.73,6622.98
2023-01-18,290320.3,279681.48,152018.94,152018.94,6024.38,6366.57
2023-01-19,308216.86,292319.13,164259.23,164259.23,6309.66,6740.78
2023-01-20,307220.22,249082.11,144366.45,144366.45,6958.49,7418.49
2023-01-21,321007.43,281724.99,167166.88,167166.88,6935.78,7465.37
2023-01-22,278992.61,333563.5,161253.55,161253.55,4668.63,4819.03
2023-01-23,299775.33,305806.64,163594.73,163594.73,6043.37,6562.15
2023-01-24,256890.71,348437.42,170399.88,170399.88,4912.4,5294.02
2023-01-25,248885,312135.88,164743.26,164743.26,5037.62,5266.88
2023-01-26,189963.62,301587.89,129238.75,129238.75,3884.87,4071.5
2023-01-27,222370.75,300111.09,143343.84,143343.84,4615.84,4738.51
2023-01-28,254680.32,290338.68,163357.83,163357.83,4982.02,5026.23
2023-01-29,246433.53,347167.87,169741.05,169741.05,3938.92,4053.81
2023-01-30,276369.59,318474.5,184870.42,184870.42,4975.26,5004.88
2023-01-31,215487.05,304898.28,146254.51,146254.51,4288.9,4389.69
2023-02-01,211303.96,268631.87,136155.69,136155.69,4920.16,5034.69
2023-02-02,217621.95,257144.15,136087.55,136087.55,5054.95,5146.64
2023-02-03,236145.92,290766.74,152397.21,152397.21,4855.84,4921.02
2023-02-04,242852.16,286389.93,153648.36,153648.36,4873.16,4946.96
2023-02-05,246769.58,311863.5,168199.72,168199.72,4201.78,4359.48
2023-02-06,261470.14,277810.75,161082.7,161082.7,5152.91,5326.01
2023-02-07,241175.95,318713.1,169105.74,169105.74,4299.96,4430.7
2023-02-08,260421.66,306153.7,175004.22,175004.22,4770.82,4869.69
2023-02-09,272879.23,276615.65,162702.37,162702.37,5185.48,5291.51
2023-02-10,295234.11,261407.94,167136.09,167136.09,5608.81,5634.19
2023-02-11,298379.05,254108.21,152619.61,152619.61,5928.3,6316.33
2023-02-12,266678.99,271945,160694.38,160694.38,5086.71,5708.25
2023-02-13,342320.19,243896.27,175569.43,175569.43,6796.67,6930.66
2023-02-14,353348.61,243652.74,191445.76,191445.76,6878.96,6924.12
2023-02-15,365032.93,220645.67,189237.16,189237.16,7410.58,7218.7
2023-02-16,351198.95,202901.53,173413.58,173413.58,7852.45,7459.72
2023-02-17,373743.07,204762.58,180784.43,180784.43,8473.96,8005.33
2023-02-18,368796.84,192800.37,175040.95,175040.95,8960.79,8403.27
2023-02-19,319073.3,266615.42,202998.7,202998.7,6126.14,6238.8
2023-02-20,337645.41,213304.26,173760.67,173760.67,7994.39,7669.67
2023-02-21,343545.35,208876.99,177546.97,177546.97,8114.45,7630.38
2023-02-22,313715.62,202902.48,163736.39,163736.39,7244.28,6839.43
2023-02-23,351417.11,195176.47,165816.81,165816.81,7838.08,7463.42
2023-02-24,346653.46,166073.56,145363.97,145363.97,8368.2,7939.63
2023-02-25,329393.97,174846.55,154600.2,154600.2,8861.24,8683.59
2023-02-26,343012.19,199198.7,169964.86,169964.86,8124.89,8149.63
2023-02-27,389806.61,180469.4,163891.18,163891.18,8988.42,8708.11
2023-02-28,349935.69,175739.47,160758.46,160758.46,9081.91,8834.38
2023-03-01,313262.84,151405.71,140962.23,140962.23,9697.02,9410.39
2023-03-02,269017.04,199815.43,149407.55,149407.55,6347.57,6199.79
2023-03-03,301996.16,189708.55,149751.2,149751.2,7859.51,7711.58
2023-03-04,316114.5,181491.67,156353.07,156353.07,8528.47,8323.3
2023-03-05,290408.33,229333.54,161973.23,161973.23,6386.68,6407.73
2023-03-06,258350.19,229326.73,154429.03,154429.03,6758.31,6821.66
2023-03-07,251001.93,236261.56,156991.53,156991.53,5774.1,5950.88
2023-03-08,212348.78,260949.08,113253.5,113253.5,3780.95,3798.57
2023-03-09,257852.18,240715.65,159022.47,159022.47,5450.86,5400.19
2023-03-10,311666.98,264255.94,173177.47,173177.47,5529.65,5502.25
2023-03-11,309601.69,251302.22,169988.87,169988.87,5544.31,5562.86
2023-03-12,308529.36,283354.11,164868.97,164868.97,5199.51,5402.02
2023-03-13,346324.02,256606.15,174862.68,174862.68,5740.73,5682.05
2023-03-14,330311.76,259853.9,175949.88,175949.88,5542.81,5500.87
